idPolygone;date;precipitation;tmin;tmax;etp;rayonnement
1;01/01/2020;0.0;19.14;32.34;7.0440510402691565;19.11
1;02/01/2020;0.0;19.24;41.25;6.295887843144966;17.43
1;03/01/2020;0.0;20.91;39.11;7.99877458809803;14.91
1;04/01/2020;0.0;24.87;38.03;8.661400975463199;17.67
1;05/01/2020;0.0;21.9;37.85;5.3174213289928645;18.98
1;06/01/2020;0.0;22.07;37.94;4.494561497065659;19.6
1;07/01/2020;3.333;24.5;38.71;4.952138990722393;10.189494
1;08/01/2020;0.0;24.38;35.63;2.6209868170354267;19.27
1;09/01/2020;8.888;22.7;33.98;4.108891521593505;12.2022792
1;10/01/2020;0.0;23.13;36.1;4.460815704865029;11.39319
1;11/01/2020;0.0;18.44;39.66;4.516048860456806;19.69
1;12/01/2020;0.0;19.58;37.74;5.02068935434384;18.72
1;13/01/2020;0.0;16.42;33.73;6.896860775621819;21.55
1;14/01/2020;0.0;16.81;32.47;6.585227752094824;19.26
1;15/01/2020;0.0;16.93;34.1;6.33524897205537;18.4
1;16/01/2020;0.0;17.78;35.65;7.234827365193067;20.88
1;17/01/2020;0.0;16.7;34.74;6.7989036735096455;20.32
1;18/01/2020;0.0;17.7;33.87;7.158052441128008;19.68
1;19/01/2020;0.0;18.68;36.22;6.30649176194159;20.52
1;20/01/2020;0.0;15.3;37.56;4.6832881215640745;18.19
1;21/01/2020;0.0;18.11;36.64;3.701270337524088;13.81
1;22/01/2020;0.0;19.64;33.69;4.338852784172383;12.94
1;23/01/2020;0.0;19.5;34.57;5.226304437549254;10.98
1;24/01/2020;0.0;21.77;38.36;6.743210467018983;18.61
1;25/01/2020;0.0;22.77;39.14;6.671920057420283;17.68
1;26/01/2020;0.0;21.01;36.45;8.099615889971668;18.54
1;27/01/2020;0.0;19.7;40.0;7.026410908632946;21.11
1;28/01/2020;0.0;17.84;40.01;5.85278423981505;20.15
1;29/01/2020;0.0;16.53;39.19;5.623375339661954;19.54
1;30/01/2020;0.0;19.71;38.85;8.415171635149775;21.75
1;31/01/2020;0.0;20.85;39.04;8.315766283202434;23.01
1;01/02/2020;0.0;17.53;32.76;6.3290225658223855;22.5
1;02/02/2020;0.0;15.2;39.06;4.135565686404146;20.46
1;03/02/2020;0.0;19.37;39.86;8.20082266807041;20.44
1;04/02/2020;0.0;21.7;36.48;8.408102491565227;20.75
1;05/02/2020;0.0;21.07;35.73;4.811390069421858;23.71
1;06/02/2020;0.0;20.50666667;37.34;5.7780121608396335;10.042326
1;07/02/2020;0.404;24.47;39.28;5.514334117967184;12.21768
1;08/02/2020;29.992;20.74;32.78;3.3969377890432297;23.07
1;09/02/2020;6.0600000000000005;22.39;31.46;2.969084383927813;22.47
1;10/02/2020;0.0;24.87;40.37;4.25298286216754;11.6809164
1;11/02/2020;0.0;16.53;41.02;4.824431574733644;24.1
1;12/02/2020;0.0;19.57;37.34;4.611589640732662;21.47
1;13/02/2020;0.0;23.63;37.98;8.132015428148602;19.69
1;14/02/2020;0.0;20.6;38.95;7.764561937635435;20.54
1;15/02/2020;0.0;21.01;37.95;7.456566968019761;18.91
1;16/02/2020;0.0;23.86;38.99;7.482256981017534;17.33
1;17/02/2020;0.0;23.05;38.16;6.773449144625588;17.04
1;18/02/2020;0.0;25.33;39.29;12.8735542805666;23.35
1;19/02/2020;0.0;21.25;40.3;7.470867626035255;23.47
1;20/02/2020;0.0;21.89;39.15;6.983696936640847;19.58
1;21/02/2020;0.0;20.1;39.49;5.963993961804957;22.69
1;22/02/2020;0.0;19.46;36.58;4.309315583651698;22.56
1;23/02/2020;0.0;20.05;36.19;3.9143356344841673;15.22
