annee;jourDebut;jourFin;parcelle;couvert;itk;N_lixivie[kgN/ha];N_volatilise_NH3[kgN/ha];N_mineralise_net_SOM[kgN/ha];N_mineralise_net_residus[kgN/ha];N_acquis_couvert[kgN/ha];N_mineral_debut[kgN/ha];N_mineral_fin[kgN/ha];emissions_N2O_directes[kgN/ha];emissions_N2[kgN/ha];N_fixe_legumineuses[kgN/ha];satisfactionAzote_culture[%];satisfactionAzote_ci[%];delta_Corg[kgC/ha];emissions_N2O_denit[kgN-N2O/ha];emissions_N2O_nit[kgN-N2O/ha];emissions_N2O_indirectes_volat[kgN-N2O/ha];emissions_N2O_indirectes_lixiv[kgN-N2O/ha]
2018;213;365;19_001;solnu;;44.55;0.0;30.01;0.0;0.0;35.0;20.4;0.06;0.01;0;0;0;-416.7;0.04;0.02;0.0;44.55
2018;213;365;119_001;solnu;;44.35;0.0;29.56;0.0;0.0;35.0;20.14;0.06;0.01;0;0;0;-403.67;0.04;0.02;0.0;44.35
2018;213;365;219_001;solnu;;45.56;0.0;33.24;0.0;0.0;35.0;22.59;0.07;0.02;0;0;0;-447.9;0.05;0.02;0.0;45.56
2018;213;365;319_001;solnu;;44.35;0.0;29.56;0.0;0.0;35.0;20.14;0.06;0.01;0;0;0;-403.67;0.04;0.02;0.0;44.35
2018;213;365;419_001;solnu;;45.54;0.0;33.24;0.0;0.0;35.0;22.63;0.06;0.01;0;0;0;-435.57;0.04;0.02;0.0;45.54
2018;213;365;519_001;solnu;;45.54;0.0;33.24;0.0;0.0;35.0;22.63;0.06;0.01;0;0;0;-435.57;0.04;0.02;0.0;45.54
2018;213;365;619_001;solnu;;44.35;0.0;29.56;0.0;0.0;35.0;20.14;0.06;0.01;0;0;0;-403.67;0.04;0.02;0.0;44.35
2018;213;365;719_001;solnu;;44.24;0.0;29.2;0.0;0.0;35.0;19.89;0.06;0.01;0;0;0;-400.03;0.04;0.02;0.0;44.24
2019;1;151;19_001;solnu;;0.0;0.0;9.23;0.0;0.0;20.46;29.63;0.01;0.0;0;0;0;-127.77;0.0;0.01;0.0;0.0
2019;152;258;19_001;mil;mil_precarachide;33.67;0.0;17.73;0.0;9.91;29.72;3.69;0.02;0.06;0;20.64;0;-242.95;0.01;0.01;0.0;33.67
2019;259;365;19_001;solnu;;2.24;0.0;16.62;-9.44;0.0;3.69;8.63;0.01;0.0;0;0;0;-144.76;0.0;0.01;0.0;2.24
2019;1;151;119_001;solnu;;0.0;0.0;9.04;0.0;0.0;20.2;29.18;0.01;0.0;0;0;0;-123.05;0.0;0.01;0.0;0.0
2019;152;258;119_001;mil;mil_precarachide;32.72;0.0;17.17;0.0;9.96;29.26;3.58;0.03;0.07;0;20.74;0;-231.47;0.02;0.01;0.0;32.72
2019;259;365;119_001;solnu;;2.14;0.0;16.22;-9.4;0.0;3.58;8.25;0.01;0.0;0;0;0;-134.28;0.0;0.01;0.0;2.14
2019;1;151;219_001;solnu;;0.0;0.0;10.04;0.0;0.0;22.66;32.62;0.01;0.0;0;0;0;-134.77;0.0;0.01;0.0;0.0
2019;152;258;219_001;mil;mil_precarachide;37.86;0.0;19.19;0.0;9.73;32.72;4.09;0.04;0.09;0;20.26;0;-255.22;0.03;0.01;0.0;37.86
2019;259;365;219_001;solnu;;1.65;0.0;18.39;-10.92;0.0;4.09;9.91;0.01;0.0;0;0;0;-156.32;0.0;0.01;0.0;1.65
2019;1;151;319_001;solnu;;0.0;0.0;9.04;0.0;0.0;20.2;29.18;0.01;0.0;0;0;0;-123.05;0.0;0.01;0.0;0.0
2019;152;258;319_001;mil;mil_precarachide;32.72;0.0;17.17;0.0;9.96;29.26;3.58;0.03;0.07;0;20.74;0;-231.47;0.02;0.01;0.0;32.72
2019;259;365;319_001;solnu;;2.14;0.0;16.22;-9.4;0.0;3.58;8.25;0.01;0.0;0;0;0;-134.28;0.0;0.01;0.0;2.14
2019;1;151;419_001;solnu;;0.0;0.0;10.04;0.0;0.0;22.69;32.66;0.01;0.0;0;0;0;-131.08;0.0;0.01;0.0;0.0
2019;152;258;419_001;mil;mil_precarachide;37.66;0.0;19.07;0.0;9.98;32.75;3.99;0.03;0.08;0;20.78;0;-246.7;0.02;0.01;0.0;37.66
2019;259;365;419_001;solnu;;2.45;0.0;18.03;-10.11;0.0;3.99;9.45;0.01;0.0;0;0;0;-148.75;0.0;0.01;0.0;2.45
2019;1;151;519_001;solnu;;0.0;0.0;10.04;0.0;0.0;22.69;32.66;0.01;0.0;0;0;0;-131.08;0.0;0.01;0.0;0.0
2019;152;258;519_001;arachide;arachide_precjachere;3.55;0.0;19.61;0.0;44.63;32.75;4.08;0.01;0.0;1.89;100.0;0;-253.87;0.0;0.01;0.0;3.55
2019;259;365;519_001;solnu;;3.73;0.0;18.15;10.86;0.0;4.08;29.35;0.02;0.0;0;0;0;-86.03;0.0;0.02;0.0;3.73
2019;1;151;619_001;solnu;;0.0;0.0;9.04;0.0;0.0;20.2;29.18;0.01;0.0;0;0;0;-123.05;0.0;0.01;0.0;0.0
2019;152;258;619_001;mil;mil_precarachide;32.72;0.0;17.17;0.0;9.96;29.26;3.58;0.03;0.07;0;20.74;0;-231.47;0.02;0.01;0.0;32.72
