annee;date;parcelle;exploitation;culture;ITK;OT;temps[h];profondeur[cm];RECOLTE_rendement[t/ha];RECOLTE_risqueEchaudage[%];RECOLTE_impactGel[%];IRRIGATION_dose[mm];IRRIGATION_reelle[mm];FERTI_produit;FERTI_nature;FERTI_annulee;FERTI_doseBruteOrg[kg/ha];FERTI_apportNminTheorique[kg/ha];FERTI_apportNminReel[kg/ha];FERTI_apportNorg_labile[kg/ha];FERTI_apportNorg_recalcitrant[kg/ha];BIOMASSE_export[t/ha];BIOMASSE_aer_restit[t/ha];BIOMASSE_rac_restit[t/ha];N_export[kg/ha];C_export[kg/ha];id_lot;nb_ugb;duree_pature[j];herbe_consommee[kg]
2019;258;19_001;SSM1-0002;mil;mil_precarachide;RECOLTE;10.73;0.0;0.2;;;;;;;;;;;;;0.0;0.21;2.26;;;;;;
2019;152;19_001;SSM1-0002;mil;mil_precarachide;SEMIS;0.14;0.0;;;;;;;;;;;;;;;;;;;;;;
2019;121;19_001;SSM1-0002;mil;mil_precarachide;TRAVAIL_SOL;4.6;0.0;;;;;;;;;;;;;;;;;;;;;;
2019;258;119_001;SSM1-0010;mil;mil_precarachide;RECOLTE;5.07;0.0;0.2;;;;;;;;;;;;;0.0;0.21;2.26;;;;;;
2019;152;119_001;SSM1-0010;mil;mil_precarachide;SEMIS;0.06;0.0;;;;;;;;;;;;;;;;;;;;;;
2019;121;119_001;SSM1-0010;mil;mil_precarachide;TRAVAIL_SOL;2.18;0.0;;;;;;;;;;;;;;;;;;;;;;
2019;258;219_001;SSM1-0019;mil;mil_precarachide;RECOLTE;45.23;0.0;0.2;;;;;;;;;;;;;0.0;0.21;2.26;;;;;;
2019;152;219_001;SSM1-0019;mil;mil_precarachide;SEMIS;0.58;0.0;;;;;;;;;;;;;;;;;;;;;;
2019;121;219_001;SSM1-0019;mil;mil_precarachide;TRAVAIL_SOL;19.41;0.0;;;;;;;;;;;;;;;;;;;;;;
2019;258;319_001;SSM1-0009;mil;mil_precarachide;RECOLTE;57.48;0.0;0.2;;;;;;;;;;;;;0.0;0.21;2.26;;;;;;
2019;152;319_001;SSM1-0009;mil;mil_precarachide;SEMIS;0.73;0.0;;;;;;;;;;;;;;;;;;;;;;
