annee;jourDebut;jourFin;parcelle;couvert;itk;delta_Corg[kg_eqCO2/ha];tx_MO_fin[%];emissions_N2O_denit[kg_eqCO2/ha];emissions_N2O_nit[kg_eqCO2/ha];emissions_volat[kg_eqCO2/ha];emissions_lixiv[kg_eqCO2/ha];emissions_ferti[kg_eqCO2/ha];bilan_net_GES[kg_eqCO2/ha];ratio_Corg_Arg[%]
2018;213;365;19_001;solnu;;1527.92;0.84;18.09;8.38;0.0;155.41;0.0;1709.79;0.03
2018;213;365;119_001;solnu;;1480.14;0.76;19.53;8.25;0.0;154.71;0.0;1662.63;0.02
2018;213;365;219_001;solnu;;1642.32;0.8;22.77;9.28;0.0;158.94;0.0;1833.3;0.03
2018;213;365;319_001;solnu;;1480.14;0.76;19.53;8.25;0.0;154.71;0.0;1662.63;0.02
2018;213;365;419_001;solnu;;1597.07;0.73;20.49;9.28;0.0;158.86;0.0;1785.7;0.02
2018;213;365;519_001;solnu;;1597.07;0.73;20.49;9.28;0.0;158.86;0.0;1785.7;0.02
2018;213;365;619_001;solnu;;1480.14;0.76;19.53;8.25;0.0;154.71;0.0;1662.63;0.02
2018;213;365;719_001;solnu;;1466.79;0.76;19.11;8.15;0.0;154.32;0.0;1648.36;0.03
2019;1;151;19_001;solnu;;468.49;0.84;0.0;2.58;0.0;0.0;0.0;471.07;0.03
2019;152;258;19_001;mil;mil_precarachide;890.82;0.83;6.1;4.95;0.0;117.47;0.0;1019.33;0.03
2019;259;365;19_001;solnu;;530.8;0.82;0.0;2.45;0.0;7.82;0.0;541.07;0.03
2019;1;151;119_001;solnu;;451.2;0.75;0.0;2.52;0.0;0.0;0.0;453.72;0.02
2019;152;258;119_001;mil;mil_precarachide;848.71;0.74;7.85;4.79;0.0;114.14;0.0;975.49;0.02
2019;259;365;119_001;solnu;;492.36;0.74;0.0;2.34;0.0;7.47;0.0;502.17;0.02
2019;1;151;219_001;solnu;;494.17;0.8;0.0;2.8;0.0;0.0;0.0;496.97;0.03
2019;152;258;219_001;mil;mil_precarachide;935.82;0.79;14.15;5.36;0.0;132.09;0.0;1087.41;0.03
2019;259;365;219_001;solnu;;573.19;0.78;0.0;3.02;0.0;5.74;0.0;581.95;0.03
2019;1;151;319_001;solnu;;451.2;0.75;0.0;2.52;0.0;0.0;0.0;453.72;0.02
2019;152;258;319_001;mil;mil_precarachide;848.71;0.74;7.85;4.79;0.0;114.14;0.0;975.49;0.02
2019;259;365;319_001;solnu;;492.36;0.74;0.0;2.34;0.0;7.47;0.0;502.17;0.02
2019;1;151;419_001;solnu;;480.61;0.73;0.0;2.8;0.0;0.0;0.0;483.41;0.02
2019;152;258;419_001;mil;mil_precarachide;904.58;0.72;9.41;5.32;0.0;131.37;0.0;1050.68;0.02
2019;259;365;419_001;solnu;;545.4;0.71;0.0;2.67;0.0;8.54;0.0;556.61;0.02
2019;1;151;519_001;solnu;;480.61;0.73;0.0;2.8;0.0;0.0;0.0;483.41;0.02
2019;152;258;519_001;mil;mil_precarachide;904.58;0.72;9.41;5.32;0.0;131.37;0.0;1050.68;0.02
2019;259;365;519_001;solnu;;545.4;0.71;0.0;2.67;0.0;8.54;0.0;556.61;0.02
2019;1;151;619_001;solnu;;451.2;0.75;0.0;2.52;0.0;0.0;0.0;453.72;0.02
2019;152;258;619_001;mil;mil_precarachide;848.71;0.74;7.85;4.79;0.0;114.14;0.0;975.49;0.02
2019;259;365;619_001;solnu;;492.36;0.74;0.0;2.34;0.0;7.47;0.0;502.17;0.02
2019;1;151;719_001;solnu;;450.01;0.76;0.0;2.51;0.0;0.0;0.0;452.52;0.03
2019;152;258;719_001;mil;mil_precarachide;845.28;0.75;7.19;4.76;0.0;112.73;0.0;969.96;0.02
2019;259;365;719_001;solnu;;486.26;0.74;0.0;2.31;0.0;7.41;0.0;495.98;0.02
