annee;date;parcelle;exploitation;culture;ITK;OT;temps[h];profondeur[cm];RECOLTE_rendement[t/ha];RECOLTE_risqueEchaudage[%];RECOLTE_impactGel[%];IRRIGATION_dose[mm];IRRIGATION_reelle[mm];FERTI_produit;FERTI_nature;FERTI_annulee;FERTI_doseBruteOrg[kg/ha];FERTI_apportNminTheorique[kg/ha];FERTI_apportNminReel[kg/ha];FERTI_apportNorg_labile[kg/ha];FERTI_apportNorg_recalcitrant[kg/ha];BIOMASSE_export[t/ha];BIOMASSE_aer_restit[t/ha];BIOMASSE_rac_restit[t/ha];N_export[kg/ha];C_export[kg/ha];id_lot;nb_ugb;duree_pature[j];herbe_consommee[kg]
2019;258;1_001;SSM1-0001;mil;mil_precarachide;RECOLTE;17.77;0.0;0.2;;;;;;;;;;;;;0.0;0.21;2.26;;;;;;
2019;152;1_001;SSM1-0001;mil;mil_precarachide;SEMIS;0.23;0.0;;;;;;;;;;;;;;;;;;;;;;
2019;121;1_001;SSM1-0001;mil;mil_precarachide;TRAVAIL_SOL;7.63;0.0;;;;;;;;;;;;;;;;;;;;;;
2019;258;2_001;SSM1-0001;mil;mil_precarachide;RECOLTE;32.78;0.0;0.2;;;;;;;;;;;;;0.0;0.21;2.26;;;;;;
2019;152;2_001;SSM1-0001;mil;mil_precarachide;SEMIS;0.42;0.0;;;;;;;;;;;;;;;;;;;;;;
2019;121;2_001;SSM1-0001;mil;mil_precarachide;TRAVAIL_SOL;14.07;0.0;;;;;;;;;;;;;;;;;;;;;;
2019;258;3_001;SSM1-0001;mil;mil_precarachide;RECOLTE;5.84;0.0;0.2;;;;;;;;;;;;;0.0;0.21;2.26;;;;;;
2019;152;3_001;SSM1-0001;mil;mil_precarachide;SEMIS;0.07;0.0;;;;;;;;;;;;;;;;;;;;;;
2019;121;3_001;SSM1-0001;mil;mil_precarachide;TRAVAIL_SOL;2.51;0.0;;;;;;;;;;;;;;;;;;;;;;
2019;258;4_001;SSM1-0001;mil;mil_precarachide;RECOLTE;27.81;0.0;0.2;;;;;;;;;;;;;0.0;0.21;2.26;;;;;;
2019;152;4_001;SSM1-0001;mil;mil_precarachide;SEMIS;0.36;0.0;;;;;;;;;;;;;;;;;;;;;;
2019;121;4_001;SSM1-0001;mil;mil_precarachide;TRAVAIL_SOL;11.94;0.0;;;;;;;;;;;;;;;;;;;;;;
2019;258;5_001;SSM1-0001;mil;mil_precarachide;RECOLTE;13.98;0.0;0.2;;;;;;;;;;;;;0.0;0.21;2.26;;;;;;
2019;152;5_001;SSM1-0001;mil;mil_precarachide;SEMIS;0.18;0.0;;;;;;;;;;;;;;;;;;;;;;
2019;121;5_001;SSM1-0001;mil;mil_precarachide;TRAVAIL_SOL;6.0;0.0;;;;;;;;;;;;;;;;;;;;;;
2019;258;6_001;SSM1-0001;mil;mil_precarachide;RECOLTE;45.94;0.0;0.2;;;;;;;;;;;;;0.0;0.21;2.26;;;;;;
2019;152;6_001;SSM1-0001;mil;mil_precarachide;SEMIS;0.59;0.0;;;;;;;;;;;;;;;;;;;;;;
2019;121;6_001;SSM1-0001;mil;mil_precarachide;TRAVAIL_SOL;19.72;0.0;;;;;;;;;;;;;;;;;;;;;;
2019;258;7_001;SSM1-0002;mil;mil_precarachide;RECOLTE;3.77;0.0;0.2;;;;;;;;;;;;;0.0;0.21;2.26;;;;;;
2019;152;7_001;SSM1-0002;mil;mil_precarachide;SEMIS;0.05;0.0;;;;;;;;;;;;;;;;;;;;;;
2019;121;7_001;SSM1-0002;mil;mil_precarachide;TRAVAIL_SOL;1.62;0.0;;;;;;;;;;;;;;;;;;;;;;
2019;258;8_001;SSM1-0002;mil;mil_precarachide;RECOLTE;26.7;0.0;0.2;;;;;;;;;;;;;0.0;0.21;2.26;;;;;;
2019;152;8_001;SSM1-0002;mil;mil_precarachide;SEMIS;0.34;0.0;;;;;;;;;;;;;;;;;;;;;;
2019;121;8_001;SSM1-0002;mil;mil_precarachide;TRAVAIL_SOL;11.46;0.0;;;;;;;;;;;;;;;;;;;;;;
2019;258;9_001;SSM1-0002;mil;mil_precarachide;RECOLTE;7.5;0.0;0.2;;;;;;;;;;;;;0.0;0.21;2.26;;;;;;
2019;152;9_001;SSM1-0002;mil;mil_precarachide;SEMIS;0.1;0.0;;;;;;;;;;;;;;;;;;;;;;
2019;121;9_001;SSM1-0002;mil;mil_precarachide;TRAVAIL_SOL;3.22;0.0;;;;;;;;;;;;;;;;;;;;;;
2019;258;10_001;SSM1-0002;mil;mil_precarachide;RECOLTE;45.47;0.0;0.2;;;;;;;;;;;;;0.0;0.21;2.26;;;;;;
2019;152;10_001;SSM1-0002;mil;mil_precarachide;SEMIS;0.58;0.0;;;;;;;;;;;;;;;;;;;;;;
2019;121;10_001;SSM1-0002;mil;mil_precarachide;TRAVAIL_SOL;19.52;0.0;;;;;;;;;;;;;;;;;;;;;;
2019;258;11_001;SSM1-0001;mil;mil_precarachide;RECOLTE;15.77;0.0;0.2;;;;;;;;;;;;;0.0;0.21;2.26;;;;;;
2019;152;11_001;SSM1-0001;mil;mil_precarachide;SEMIS;0.2;0.0;;;;;;;;;;;;;;;;;;;;;;
2019;121;11_001;SSM1-0001;mil;mil_precarachide;TRAVAIL_SOL;6.77;0.0;;;;;;;;;;;;;;;;;;;;;;
2019;258;12_001;SSM1-0001;mil;mil_precarachide;RECOLTE;10.33;0.0;0.2;;;;;;;;;;;;;0.0;0.21;2.26;;;;;;
2019;152;12_001;SSM1-0001;mil;mil_precarachide;SEMIS;0.13;0.0;;;;;;;;;;;;;;;;;;;;;;
2019;121;12_001;SSM1-0001;mil;mil_precarachide;TRAVAIL_SOL;4.43;0.0;;;;;;;;;;;;;;;;;;;;;;
2019;258;13_001;SSM1-0001;mil;mil_precarachide;RECOLTE;13.71;0.0;0.2;;;;;;;;;;;;;0.0;0.21;2.26;;;;;;
2019;152;13_001;SSM1-0001;mil;mil_precarachide;SEMIS;0.18;0.0;;;;;;;;;;;;;;;;;;;;;;
2019;121;13_001;SSM1-0001;mil;mil_precarachide;TRAVAIL_SOL;5.89;0.0;;;;;;;;;;;;;;;;;;;;;;
2019;258;14_001;SSM1-0001;mil;mil_precarachide;RECOLTE;60.96;0.0;0.2;;;;;;;;;;;;;0.0;0.21;2.26;;;;;;
2019;152;14_001;SSM1-0001;mil;mil_precarachide;SEMIS;0.78;0.0;;;;;;;;;;;;;;;;;;;;;;
2019;121;14_001;SSM1-0001;mil;mil_precarachide;TRAVAIL_SOL;26.17;0.0;;;;;;;;;;;;;;;;;;;;;;
2019;258;15_001;SSM1-0001;mil;mil_precarachide;RECOLTE;88.5;0.0;0.2;;;;;;;;;;;;;0.0;0.21;2.26;;;;;;
2019;152;15_001;SSM1-0001;mil;mil_precarachide;SEMIS;1.13;0.0;;;;;;;;;;;;;;;;;;;;;;
2019;121;15_001;SSM1-0001;mil;mil_precarachide;TRAVAIL_SOL;37.99;0.0;;;;;;;;;;;;;;;;;;;;;;
2019;258;16_001;SSM1-0001;mil;mil_precarachide;RECOLTE;4.78;0.0;0.2;;;;;;;;;;;;;0.0;0.21;2.26;;;;;;
2019;152;16_001;SSM1-0001;mil;mil_precarachide;SEMIS;0.06;0.0;;;;;;;;;;;;;;;;;;;;;;
2019;121;16_001;SSM1-0001;mil;mil_precarachide;TRAVAIL_SOL;2.05;0.0;;;;;;;;;;;;;;;;;;;;;;
2019;258;17_001;SSM1-0001;mil;mil_precarachide;RECOLTE;14.08;0.0;0.2;;;;;;;;;;;;;0.0;0.21;2.26;;;;;;
2019;152;17_001;SSM1-0001;mil;mil_precarachide;SEMIS;0.18;0.0;;;;;;;;;;;;;;;;;;;;;;
2019;121;17_001;SSM1-0001;mil;mil_precarachide;TRAVAIL_SOL;6.04;0.0;;;;;;;;;;;;;;;;;;;;;;
2019;258;19_001;SSM1-0002;mil;mil_precarachide;RECOLTE;5.42;0.0;0.2;;;;;;;;;;;;;0.0;0.21;2.26;;;;;;
2019;152;19_001;SSM1-0002;mil;mil_precarachide;SEMIS;0.07;0.0;;;;;;;;;;;;;;;;;;;;;;
2019;121;19_001;SSM1-0002;mil;mil_precarachide;TRAVAIL_SOL;2.33;0.0;;;;;;;;;;;;;;;;;;;;;;
2019;258;20_001;SSM1-0002;mil;mil_precarachide;RECOLTE;10.73;0.0;0.2;;;;;;;;;;;;;0.0;0.21;2.26;;;;;;
2019;152;20_001;SSM1-0002;mil;mil_precarachide;SEMIS;0.14;0.0;;;;;;;;;;;;;;;;;;;;;;
2019;121;20_001;SSM1-0002;mil;mil_precarachide;TRAVAIL_SOL;4.6;0.0;;;;;;;;;;;;;;;;;;;;;;
2019;258;21_001;SSM1-0002;mil;mil_precarachide;RECOLTE;38.23;0.0;0.2;;;;;;;;;;;;;0.0;0.21;2.26;;;;;;
2019;152;21_001;SSM1-0002;mil;mil_precarachide;SEMIS;0.49;0.0;;;;;;;;;;;;;;;;;;;;;;
2019;121;21_001;SSM1-0002;mil;mil_precarachide;TRAVAIL_SOL;16.41;0.0;;;;;;;;;;;;;;;;;;;;;;
2019;258;22_001;SSM1-0002;mil;mil_precarachide;RECOLTE;5.57;0.0;0.2;;;;;;;;;;;;;0.0;0.21;2.26;;;;;;
2019;152;22_001;SSM1-0002;mil;mil_precarachide;SEMIS;0.07;0.0;;;;;;;;;;;;;;;;;;;;;;
2019;121;22_001;SSM1-0002;mil;mil_precarachide;TRAVAIL_SOL;2.39;0.0;;;;;;;;;;;;;;;;;;;;;;
2019;258;23_001;SSM1-0002;mil;mil_precarachide;RECOLTE;27.25;0.0;0.2;;;;;;;;;;;;;0.0;0.21;2.26;;;;;;
2019;152;23_001;SSM1-0002;mil;mil_precarachide;SEMIS;0.35;0.0;;;;;;;;;;;;;;;;;;;;;;
2019;121;23_001;SSM1-0002;mil;mil_precarachide;TRAVAIL_SOL;11.7;0.0;;;;;;;;;;;;;;;;;;;;;;
2019;258;24_001;SSM1-0002;mil;mil_precarachide;RECOLTE;11.86;0.0;0.2;;;;;;;;;;;;;0.0;0.21;2.26;;;;;;
2019;152;24_001;SSM1-0002;mil;mil_precarachide;SEMIS;0.15;0.0;;;;;;;;;;;;;;;;;;;;;;
2019;121;24_001;SSM1-0002;mil;mil_precarachide;TRAVAIL_SOL;5.09;0.0;;;;;;;;;;;;;;;;;;;;;;
2019;258;25_001;SSM1-0003;mil;mil_precarachide;RECOLTE;7.48;0.0;0.2;;;;;;;;;;;;;0.0;0.21;2.26;;;;;;
2019;152;25_001;SSM1-0003;mil;mil_precarachide;SEMIS;0.1;0.0;;;;;;;;;;;;;;;;;;;;;;
2019;121;25_001;SSM1-0003;mil;mil_precarachide;TRAVAIL_SOL;3.21;0.0;;;;;;;;;;;;;;;;;;;;;;
2019;258;26_001;SSM1-0003;mil;mil_precarachide;RECOLTE;23.76;0.0;0.2;;;;;;;;;;;;;0.0;0.21;2.26;;;;;;
2019;152;26_001;SSM1-0003;mil;mil_precarachide;SEMIS;0.3;0.0;;;;;;;;;;;;;;;;;;;;;;
2019;121;26_001;SSM1-0003;mil;mil_precarachide;TRAVAIL_SOL;10.2;0.0;;;;;;;;;;;;;;;;;;;;;;
2019;258;27_001;SSM1-0004;mil;mil_precarachide;RECOLTE;19.54;0.0;0.2;;;;;;;;;;;;;0.0;0.21;2.26;;;;;;
2019;152;27_001;SSM1-0004;mil;mil_precarachide;SEMIS;0.25;0.0;;;;;;;;;;;;;;;;;;;;;;
2019;121;27_001;SSM1-0004;mil;mil_precarachide;TRAVAIL_SOL;8.39;0.0;;;;;;;;;;;;;;;;;;;;;;
2019;258;28_001;SSM1-0003;mil;mil_precarachide;RECOLTE;2.73;0.0;0.2;;;;;;;;;;;;;0.0;0.21;2.26;;;;;;
2019;152;28_001;SSM1-0003;mil;mil_precarachide;SEMIS;0.03;0.0;;;;;;;;;;;;;;;;;;;;;;
2019;121;28_001;SSM1-0003;mil;mil_precarachide;TRAVAIL_SOL;1.17;0.0;;;;;;;;;;;;;;;;;;;;;;
2019;258;29_001;SSM1-0003;mil;mil_precarachide;RECOLTE;27.58;0.0;0.2;;;;;;;;;;;;;0.0;0.21;2.26;;;;;;
2019;152;29_001;SSM1-0003;mil;mil_precarachide;SEMIS;0.35;0.0;;;;;;;;;;;;;;;;;;;;;;
2019;121;29_001;SSM1-0003;mil;mil_precarachide;TRAVAIL_SOL;11.84;0.0;;;;;;;;;;;;;;;;;;;;;;
2019;258;30_001;SSM1-0003;mil;mil_precarachide;RECOLTE;29.77;0.0;0.2;;;;;;;;;;;;;0.0;0.21;2.26;;;;;;
2019;152;30_001;SSM1-0003;mil;mil_precarachide;SEMIS;0.38;0.0;;;;;;;;;;;;;;;;;;;;;;
2019;121;30_001;SSM1-0003;mil;mil_precarachide;TRAVAIL_SOL;12.78;0.0;;;;;;;;;;;;;;;;;;;;;;
2019;258;31_001;SSM1-0003;mil;mil_precarachide;RECOLTE;5.06;0.0;0.2;;;;;;;;;;;;;0.0;0.21;2.26;;;;;;
2019;152;31_001;SSM1-0003;mil;mil_precarachide;SEMIS;0.06;0.0;;;;;;;;;;;;;;;;;;;;;;
2019;121;31_001;SSM1-0003;mil;mil_precarachide;TRAVAIL_SOL;2.17;0.0;;;;;;;;;;;;;;;;;;;;;;
2019;258;32_001;SSM1-0003;mil;mil_precarachide;RECOLTE;37.72;0.0;0.2;;;;;;;;;;;;;0.0;0.21;2.26;;;;;;
2019;152;32_001;SSM1-0003;mil;mil_precarachide;SEMIS;0.48;0.0;;;;;;;;;;;;;;;;;;;;;;
2019;121;32_001;SSM1-0003;mil;mil_precarachide;TRAVAIL_SOL;16.19;0.0;;;;;;;;;;;;;;;;;;;;;;
2019;258;33_001;SSM1-0003;mil;mil_precarachide;RECOLTE;4.63;0.0;0.2;;;;;;;;;;;;;0.0;0.21;2.26;;;;;;
2019;152;33_001;SSM1-0003;mil;mil_precarachide;SEMIS;0.06;0.0;;;;;;;;;;;;;;;;;;;;;;
2019;121;33_001;SSM1-0003;mil;mil_precarachide;TRAVAIL_SOL;1.99;0.0;;;;;;;;;;;;;;;;;;;;;;
2019;258;34_001;SSM1-0003;mil;mil_precarachide;RECOLTE;23.83;0.0;0.2;;;;;;;;;;;;;0.0;0.21;2.26;;;;;;
2019;152;34_001;SSM1-0003;mil;mil_precarachide;SEMIS;0.3;0.0;;;;;;;;;;;;;;;;;;;;;;
2019;121;34_001;SSM1-0003;mil;mil_precarachide;TRAVAIL_SOL;10.23;0.0;;;;;;;;;;;;;;;;;;;;;;
2019;258;35_001;SSM1-0003;mil;mil_precarachide;RECOLTE;5.06;0.0;0.2;;;;;;;;;;;;;0.0;0.21;2.26;;;;;;
2019;152;35_001;SSM1-0003;mil;mil_precarachide;SEMIS;0.06;0.0;;;;;;;;;;;;;;;;;;;;;;
2019;121;35_001;SSM1-0003;mil;mil_precarachide;TRAVAIL_SOL;2.17;0.0;;;;;;;;;;;;;;;;;;;;;;
2019;258;36_001;SSM1-0003;mil;mil_precarachide;RECOLTE;53.76;0.0;0.2;;;;;;;;;;;;;0.0;0.21;2.26;;;;;;
2019;152;36_001;SSM1-0003;mil;mil_precarachide;SEMIS;0.69;0.0;;;;;;;;;;;;;;;;;;;;;;
2019;121;36_001;SSM1-0003;mil;mil_precarachide;TRAVAIL_SOL;23.08;0.0;;;;;;;;;;;;;;;;;;;;;;
2019;258;37_001;SSM1-0003;mil;mil_precarachide;RECOLTE;6.93;0.0;0.2;;;;;;;;;;;;;0.0;0.21;2.26;;;;;;
2019;152;37_001;SSM1-0003;mil;mil_precarachide;SEMIS;0.09;0.0;;;;;;;;;;;;;;;;;;;;;;
2019;121;37_001;SSM1-0003;mil;mil_precarachide;TRAVAIL_SOL;2.97;0.0;;;;;;;;;;;;;;;;;;;;;;
2019;258;38_001;SSM1-0003;mil;mil_precarachide;RECOLTE;16.85;0.0;0.2;;;;;;;;;;;;;0.0;0.21;2.26;;;;;;
2019;152;38_001;SSM1-0003;mil;mil_precarachide;SEMIS;0.22;0.0;;;;;;;;;;;;;;;;;;;;;;
2019;121;38_001;SSM1-0003;mil;mil_precarachide;TRAVAIL_SOL;7.23;0.0;;;;;;;;;;;;;;;;;;;;;;
2019;258;39_001;SSM1-0003;mil;mil_precarachide;RECOLTE;1.24;0.0;0.2;;;;;;;;;;;;;0.0;0.21;2.26;;;;;;
2019;152;39_001;SSM1-0003;mil;mil_precarachide;SEMIS;0.02;0.0;;;;;;;;;;;;;;;;;;;;;;
2019;121;39_001;SSM1-0003;mil;mil_precarachide;TRAVAIL_SOL;0.53;0.0;;;;;;;;;;;;;;;;;;;;;;
2019;258;40_001;SSM1-0003;mil;mil_precarachide;RECOLTE;6.76;0.0;0.2;;;;;;;;;;;;;0.0;0.21;2.26;;;;;;
2019;152;40_001;SSM1-0003;mil;mil_precarachide;SEMIS;0.09;0.0;;;;;;;;;;;;;;;;;;;;;;
2019;121;40_001;SSM1-0003;mil;mil_precarachide;TRAVAIL_SOL;2.9;0.0;;;;;;;;;;;;;;;;;;;;;;
2019;258;41_001;SSM1-0003;mil;mil_precarachide;RECOLTE;0.02;0.0;0.2;;;;;;;;;;;;;0.0;0.21;2.26;;;;;;
2019;152;41_001;SSM1-0003;mil;mil_precarachide;SEMIS;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;
2019;121;41_001;SSM1-0003;mil;mil_precarachide;TRAVAIL_SOL;0.01;0.0;;;;;;;;;;;;;;;;;;;;;;
2019;258;42_001;SSM1-0003;mil;mil_precarachide;RECOLTE;19.27;0.0;0.2;;;;;;;;;;;;;0.0;0.21;2.26;;;;;;
2019;152;42_001;SSM1-0003;mil;mil_precarachide;SEMIS;0.25;0.0;;;;;;;;;;;;;;;;;;;;;;
2019;121;42_001;SSM1-0003;mil;mil_precarachide;TRAVAIL_SOL;8.27;0.0;;;;;;;;;;;;;;;;;;;;;;
2019;258;43_001;SSM1-0003;mil;mil_precarachide;RECOLTE;6.86;0.0;0.2;;;;;;;;;;;;;0.0;0.21;2.26;;;;;;
2019;152;43_001;SSM1-0003;mil;mil_precarachide;SEMIS;0.09;0.0;;;;;;;;;;;;;;;;;;;;;;
2019;121;43_001;SSM1-0003;mil;mil_precarachide;TRAVAIL_SOL;2.95;0.0;;;;;;;;;;;;;;;;;;;;;;
2019;258;44_001;SSM1-0003;mil;mil_precarachide;RECOLTE;4.64;0.0;0.2;;;;;;;;;;;;;0.0;0.21;2.26;;;;;;
2019;152;44_001;SSM1-0003;mil;mil_precarachide;SEMIS;0.06;0.0;;;;;;;;;;;;;;;;;;;;;;
2019;121;44_001;SSM1-0003;mil;mil_precarachide;TRAVAIL_SOL;1.99;0.0;;;;;;;;;;;;;;;;;;;;;;
2019;258;45_001;SSM1-0003;mil;mil_precarachide;RECOLTE;8.96;0.0;0.2;;;;;;;;;;;;;0.0;0.21;2.26;;;;;;
2019;152;45_001;SSM1-0003;mil;mil_precarachide;SEMIS;0.11;0.0;;;;;;;;;;;;;;;;;;;;;;
2019;121;45_001;SSM1-0003;mil;mil_precarachide;TRAVAIL_SOL;3.85;0.0;;;;;;;;;;;;;;;;;;;;;;
2019;258;46_001;SSM1-0003;mil;mil_precarachide;RECOLTE;19.01;0.0;0.2;;;;;;;;;;;;;0.0;0.21;2.26;;;;;;
2019;152;46_001;SSM1-0003;mil;mil_precarachide;SEMIS;0.24;0.0;;;;;;;;;;;;;;;;;;;;;;
2019;121;46_001;SSM1-0003;mil;mil_precarachide;TRAVAIL_SOL;8.16;0.0;;;;;;;;;;;;;;;;;;;;;;
2019;258;47_001;SSM1-0003;mil;mil_precarachide;RECOLTE;6.59;0.0;0.2;;;;;;;;;;;;;0.0;0.21;2.26;;;;;;
2019;152;47_001;SSM1-0003;mil;mil_precarachide;SEMIS;0.08;0.0;;;;;;;;;;;;;;;;;;;;;;
2019;121;47_001;SSM1-0003;mil;mil_precarachide;TRAVAIL_SOL;2.83;0.0;;;;;;;;;;;;;;;;;;;;;;
2019;258;48_001;SSM1-0002;mil;mil_precarachide;RECOLTE;16.43;0.0;0.2;;;;;;;;;;;;;0.0;0.21;2.26;;;;;;
2019;152;48_001;SSM1-0002;mil;mil_precarachide;SEMIS;0.21;0.0;;;;;;;;;;;;;;;;;;;;;;
